Reference,Quantity,Identifier,Package,Value,Tolerance,Voltage,Current,Power,PN,Farnell CC
"J2","1","","","BROOK_FB","","","","","","1109732"
"R4;R6;R8;R10;R12;R14;R16;R3;R5;R7;R9;R11;R13;R15;R17;R19;R22;R23;R20;R24;R2;R18;R28","23","","","10K","","","","","","2447553"
"R27;R29","2","","","3K5","","","","","","2447553"
"U8","1","","","18F45K50","","","","","","2305837"
"D1","1","","","LED","","","","","","1465996"
"F1;F2;F3","3","","","Fix","","","","","",""
"P5","1","","","TTL Serial","","","","","","1593427"
"R30","1","","","4K7","","","","","","2447553"
"U6;U5;U4","3","","","74LVC07","","","","","",""
"C1;C8;C4;C5;C6;C2;C3;C9","8","","","0.1ÂµF","","","","","","2496944"
"P1;P2","2","","","BORNIER_10","","","","","",""
"R1;R25;R26","3","","","330R","","","","","","2502716"
"J1","1","","","RJ45","","","","","","1860580"
"P3;P4","2","","","CONN_01X06","","","","","","1593415"
"U1","1","","","74HC32","","","","","",""
"P6","1","","","Status Leds","","","","","",""
"U9","1","","","MAX4737","","","","","","2512889"
"SW2;SW1","2","","","SW_PUSH","","","","","",""
"R21","1","","","100R","","","","","","9333703"
"C7","1","","","330nF","","","","","","1828951"
